Dossier.GeefDossiers,Dossier,"De dienst GeefDossiers maakt deel uit van het DOSIS project binnen het programma Vlaanderen Radicaal Digitaal. DOSIS centraliseert informatie over dossiers die binnen de Vlaamse Gemeenschap bestaan over personen, ondernemingen of andere subjecten.",f
Dossier.GeefUitzonderingenRegistraties,Dossier,Binnen het DOSIS project laat de dienst GeefUitzonderingenRegistraties toe dat een afnemer (een dossierbeheerder) nagaat of eerdere aanleveringen van dossiergegevens via de dienst RegistreerDossier fouten hebben veroorzaakt en dus niet zijn verwerkt.,f
Energie.GeefEPC,Energie,Dit document beschrijft het gebruik en de werking van de webservice GeefEpc zoals deze door Agentschap Informatie Vlaanderen op het MAGDA platform aangeboden wordt.,t
Onderwijs.GeefAantalAanwezigheden,Onderwijs,Het opvragen van aantal halve dagen aanwezigheid van een persoon op basis van diens INSZ en het schooljaar.,t
Persoon.GeefAttest,Persoon,Tot heel recent in 2017 was er geen reglementaire basis voor uittreksels en getuigschriften van het bevolkingsregister. Dit verklaart de grote verscheidenheid aan attesten en terminologie die werden (en vaak nog worden) aangeboden door de gemeenten. Door het Ministerieel besluit van 21 APRIL 2017 is hier verandering in gekomen. Dit Ministerieel besluit bepaalt de exhaustieve lijst en de modellen van de bevolkingsattesten.,True
Persoon.GeefGeinssamenstelling,Persoon,De dienst ‘GeefGezinssamenstelling 2.0’ biedt de afnemer de mogelijkheid de gezinssamenstelling van een persoon en de persoonsgegevens van de ingevoerde persoon of gezinsleden op te vragen bij KSZ.,True
Inkomen.GeefAanslagbiljetPersonenbelasting,Inkomen,De webservice GeefAanslagbiljetPersonenbelasting is in staat gegevens van het aanslagbiljet van de personenbelasting op te vragen bij de FOD Financiën. Deze gegevens zijn opvraagbaar ofwel rechtstreeks bij de FOD Fin comma ofwel via KSZ (die daarna de connectie naar FOD Fin verzorgt).,True
Economie.GeefBelastbaarVermogen,Economie,De webservice GeefBelastbaarVermogen is in staat gegevens van het vermogen op te vragen bij de FOD Financiën. Deze gegevens zijn opvraagbaar ofwel rechtstreeks bij de FOD Fin comma ofwel via KSZ (die daarna de connectie naar FOD Fin verzorgt).,True
LED.AnnuleerBewijs-02.00,LED,Het doel van het LED project is het bouwen van een authentieke gegevensdatabank met informatie over leer- en ervaringsbewijzen. Deze databank zal gevoed kunnen worden door (al dan niet) authentieke bronnen die op de centrale databank zijn aangesloten en kunnen worden bevraagd door gemachtigde belanghebbenden. De nood aan een dergelijke databank kwam onder meer naar boven in het beleidsdomein O&V in het kader van de financiering van het leerplichtonderwijs.,False
LED.GeefBewijs-02.00,LED,Het INSZ van de persoon waarvoor de bewijzen worden opgevraagd. Dit moet het actuele INSZ zijn. Indien dit niet het geval is dan zal de vraag niet succesvol zijn.,False
LED.PubliceerBewijs-02.00,LED,"Deze dienst is een Publicatie-service. Elke afnemer heeft de mogelijkheid om in samenspraak met Informatie Vlaanderen te bepalen welke gegevens gevraagd worden, op basis van welke criteria deze geselecteerd moeten worden en met welke frequentie die zouden moeten aangeleverd worden.

De gegevens worden na publicatie beschikbaar gesteld op de MAGDA FTP server. De exacte locatie van deze folder en de naam wordt in samenspraak met Informatie Vlaanderen bij aansluiting beslist. De folderstructuur en de manier waarop de gegevens opgehaald kunnen worden, wordt beschreven in /wiki/spaces/MG/pages/486015072.",False
